"marketName","action","usdcAmount","tokenAmount","tokenName","timestamp","hash"
"Bitcoin Up or Down - April 30, 7:45AM-7:50AM ET","Sell","2.96787","3","Up","1777549794","0xde74c309a041a611be225abd316a2c0539c808307f9927493797a455b3bc6f55"
"Bitcoin Up or Down - April 30, 7:45AM-7:50AM ET","Sell","2.96787","3","Up","1777549794","0xde74c309a041a611be225abd316a2c0539c808307f9927493797a455b3bc6f55"
"Bitcoin Up or Down - April 30, 7:45AM-7:50AM ET","Buy","2.8602600000000002","3","Up","1777549712","0xb6ee3de72f3f0a5898a06739aac37018ad9803af93297094f3956583b911db52"
"Bitcoin Up or Down - April 30, 7:45AM-7:50AM ET","Buy","2.8602600000000002","3","Up","1777549712","0xb6ee3de72f3f0a5898a06739aac37018ad9803af93297094f3956583b911db52"
"Bitcoin Up or Down - April 30, 7:00AM-7:05AM ET","Redeem","4","4","","1777547170","0xb30143f16b7594bafd9c68ced2db9ff8887f8d6bff8aa1611d1ffba5f51f1c9f"
"Bitcoin Up or Down - April 30, 7:00AM-7:05AM ET","Buy","3.7387400000000004","4","Up","1777547014","0x89a7400314b062beea4d092f595be6f0349050ca654129d42e01177b74b30109"
"Bitcoin Up or Down - April 30, 6:20AM-6:25AM ET","Buy","3.8136799999999997","4","Up","1777544612","0x1dacbe196ec5f615c4492a6ac658347bd7a0604641386d67d988d811a4331a91"
"Bitcoin Up or Down - April 30, 1:55AM-2:00AM ET","Redeem","0","0","","1777544256","0x7702d99955dbe990bd5070c6147beeecd1d88bd58f480fc86fb597fb40476501"
"Bitcoin Up or Down - April 30, 6:00AM-6:05AM ET","Redeem","0","0","","1777544234","0x57f2ca740041b93fec689f139257f103b97b8b0ee1044be1321e517061c3ece9"
"Bitcoin Up or Down - April 30, 1:55AM-2:00AM ET","Redeem","0","0","","1777543716","0xa04a053255e353492ae26321dd28aa321175195f0dc2dc1fef4988ff95a76234"
"Bitcoin Up or Down - April 30, 6:00AM-6:05AM ET","Sell","2.96787","3","Up","1777543494","0x99aea7b6597c282e741d93bb6c9f1b085032873153a4271d63976b1509c94303"
"Bitcoin Up or Down - April 30, 6:00AM-6:05AM ET","Buy","2.8321799999999997","3","Up","1777543412","0x3b12bcb587f9d2060a4a2c0f99400fe7aaf35d7a133ab09e1f3a1a9cb5ae0baa"
"Bitcoin Up or Down - April 30, 1:55AM-2:00AM ET","Redeem","3","3","","1777543400","0x9e3ba90ebe7a869b726e787281b2c1583a537c13d95303dd3e68b18f9ca159c0"
"Bitcoin Up or Down - April 30, 4:25AM-4:30AM ET","Sell","2.96787","3","Up","1777537794","0xee889945fc252c1d78d0f5d3fc5a96822e0d56f6fddc467b1fd28116b4241a00"
"Bitcoin Up or Down - April 30, 4:25AM-4:30AM ET","Buy","2.8602600000000002","3","Up","1777537714","0x736f62ba4b45aa49f9adc4f7fff39ca06da4f3e3c9c972efafedbb7e0fcb3527"
"Bitcoin Up or Down - April 30, 4:05AM-4:10AM ET","Sell","2.96787","3","Down","1777536594","0x7f294a5bfb67ba62e7996ca3d89d7ff65b072c7c469354e3bf1c23c44ab2a563"
"Bitcoin Up or Down - April 30, 4:05AM-4:10AM ET","Buy","2.8602600000000002","3","Down","1777536512","0x7daad1f75b9922d09f72c149798b4066e7e568cedca777e27c7952f2e1edd401"
"Bitcoin Up or Down - April 30, 3:50AM-3:55AM ET","Sell","2.8717099999999998","3","Down","1777535694","0xb157a79d0bb8dcdf914d3b4990a6306ea6cbbd02556c0ff6a26f321e4d1f60f0"
"Bitcoin Up or Down - April 30, 3:50AM-3:55AM ET","Buy","2.74769","3","Down","1777535614","0x21ba2dd855ea9071cfbd96fc30c3124c7a2daf8260594a41a7481811620d4bfd"
"Bitcoin Up or Down - April 30, 3:45AM-3:50AM ET","Sell","2.96787","3","Up","1777535394","0x9735111df5def519e62d7d0ca386c2f70012a836aab9c734f05bebfe2484582d"
"Bitcoin Up or Down - April 30, 3:45AM-3:50AM ET","Buy","2.6628000000000003","3","Up","1777535330","0xcd436d6612161ac246099ab3bae652901098c6225019482b722ce390ff2e2237"
"Bitcoin Up or Down - April 30, 3:35AM-3:40AM ET","Sell","2.96787","3","Up","1777534794","0xe2b95bdd2628383dd21f6c449eec7b1700eb74cf5e07b0224f490fb6796b456d"
"Bitcoin Up or Down - April 30, 3:35AM-3:40AM ET","Buy","2.69114","3","Up","1777534754","0x7402e8e8cc0aa13ec6529f4bd96bdffd0e62abdcf90ab1ec513c2595462ea6bc"
"Bitcoin Up or Down - April 30, 3:30AM-3:35AM ET","Sell","2.96787","3","Up","1777534494","0x811587c61d97d7670629daea7d1473ae9ebcc1607e3f4a87feee9a63e752fdf0"
"Bitcoin Up or Down - April 30, 3:30AM-3:35AM ET","Buy","2.71944","3","Up","1777534412","0x8e3abd9b993f2603a7ce8d45622ae3b78ec5f5f162909eb526b6b0aa7b3b5f3d"
"Bitcoin Up or Down - April 30, 3:05AM-3:10AM ET","Sell","2.96787","3","Up","1777532994","0x949609faa2152323460691f4068c9c7d0242fa62bbee36deba408267ac07c330"
"Bitcoin Up or Down - April 30, 3:05AM-3:10AM ET","Buy","2.74769","3","Up","1777532924","0x01df12253e999932de3afce6c4c0b85ad2d527dce140d9bd0c42e31ff9bce2a7"
"Bitcoin Up or Down - April 30, 2:30AM-2:35AM ET","Sell","2.96787","3","Up","1777530894","0xbe2a184d4c8607c48c6d7babbf30644f2001050980ca85add363105b1220ab62"
"Bitcoin Up or Down - April 30, 2:30AM-2:35AM ET","Buy","2.8321799999999997","3","Up","1777530812","0x2cbae10068a10350540692fc76fef7455dfaed9f8976c6921dcc19e6f765a116"
"Bitcoin Up or Down - April 30, 2:15AM-2:20AM ET","Sell","2.96787","3","Up","1777529994","0xd3d7c7cb77bd4c32513aadc287b3ade3c4e765460d55a36f70ba7050454fd07e"
"Bitcoin Up or Down - April 30, 2:15AM-2:20AM ET","Buy","2.71944","3","Up","1777529914","0x4c2af6b895705f71b62a1a616c538d33b8efe91b2559e368d275a1fc10d5a21c"
"Bitcoin Up or Down - April 30, 1:55AM-2:00AM ET","Buy","2.57754","3","Down","1777528738","0x7bab9a3381dd3c1e4b909bbcfd03fed81c42267a5362399532e02aec935d2a27"
"Bitcoin Up or Down - April 30, 1:35AM-1:40AM ET","Sell","2.9357699999999998","3","Up","1777527594","0x192a077990f95af17d811a71af0e8dad3d2f75bea6d7c33f49d214003e35573f"
"Bitcoin Up or Down - April 30, 1:35AM-1:40AM ET","Buy","2.77589","3","Up","1777527514","0xb1805771713f19473511da0472717e065e5e40bb21e3d83c63a305f59c9f2973"
"Bitcoin Up or Down - April 30, 1:25AM-1:30AM ET","Sell","2.96787","3","Down","1777526994","0x4c239548878b0c3093a59fb4466aa83e1edfa922cc87e730701181477452030e"
"Bitcoin Up or Down - April 30, 1:25AM-1:30AM ET","Buy","2.8321799999999997","3","Down","1777526956","0x4993aaa1a776ae048e21d356e7671f0d4c55c85b4d5889fd2ce6664654a03e1f"
"Bitcoin Up or Down - April 30, 12:45AM-12:50AM ET","Sell","2.96787","3","Up","1777524594","0x0da4dc072fb1ddb988cf9005497d7742d2e274ca53b12bffe9046b4e19415882"
"Bitcoin Up or Down - April 30, 12:45AM-12:50AM ET","Buy","2.74769","3","Up","1777524514","0x874157f5b57c05a22ef0a3f6b7c6e0829c171a63d34b35e367c034f5b90eeb9e"
"Bitcoin Up or Down - April 30, 12:05AM-12:10AM ET","Sell","2.96787","3","Down","1777522194","0x48a04d82f77ec80d91fd5a8094f21c7f02b0d9c8c2828b3ecf9de88dbbbdba2e"
"Bitcoin Up or Down - April 30, 12:05AM-12:10AM ET","Buy","2.8321799999999997","3","Down","1777522112","0x301dd52fa3ed84a021b5f05005cb64d98f946b15100085cd6a7d4e442cd9cc1d"
"Bitcoin Up or Down - April 29, 11:50PM-11:55PM ET","Sell","2.96787","3","Up","1777521294","0xb6a1345e62455a139a61900695f090096da416db83c90c533439acc2b4f06ced"
"Bitcoin Up or Down - April 29, 11:50PM-11:55PM ET","Buy","2.80406","3","Up","1777521214","0x84acefd6b67c68347ad3f128a7dd95538379dd2f31d809e4a67f8241bf690e5f"
"Bitcoin Up or Down - April 29, 11:35PM-11:40PM ET","Sell","2.96787","3","Up","1777520394","0xb74910061e96b5f6e658c7c30454c29bb2ac2e8baed00f17c3ca4df75fc0e18d"
"Bitcoin Up or Down - April 29, 11:35PM-11:40PM ET","Buy","2.8602600000000002","3","Up","1777520324","0xe36d99ddd83cef847f82f47455c71c3da550299fe4c80a03fa5e83ec80ef000e"
"Bitcoin Up or Down - April 29, 11:25PM-11:30PM ET","Sell","2.96787","3","Up","1777519794","0xca4ff6b046bab26bbb06b6b08084cdfa0a59ece3f02f99d81802a671bf90fc2e"
"Bitcoin Up or Down - April 29, 11:25PM-11:30PM ET","Buy","2.6628000000000003","3","Up","1777519720","0xce664b23deab74837247f3896f56f31a91c1f68b9d7289bf0e818c658ba41db8"
"Bitcoin Up or Down - April 29, 11:00PM-11:05PM ET","Sell","2.9357699999999998","3","Up","1777518294","0xf12fb08e54dc3626c2cb15c526c419a8fbb27abca0c5103f8031f5937a61a8cd"
"Bitcoin Up or Down - April 29, 11:00PM-11:05PM ET","Buy","2.71944","3","Up","1777518212","0x078dcff21b36661a633f33ab0b6c2016510ad9e92b737b6a5d85a8dde8ccaa61"
"Bitcoin Up or Down - April 29, 10:25PM-10:30PM ET","Sell","2.96787","3","Down","1777516194","0x49d0e6c5b60c17a5c60179a2111748f5b51a6860004815e8b3973ab249a03c95"
"Bitcoin Up or Down - April 29, 10:25PM-10:30PM ET","Buy","2.8602600000000002","3","Down","1777516114","0x6afe950bd34329d8b5f52fd4be9a4659657e039313de253863754c59de468570"
"Bitcoin Up or Down - April 29, 10:00PM-10:05PM ET","Sell","2.96787","3","Up","1777514694","0x55a2f9443813597980188002102b1c06a05752713ba6ad5129c0890b87a30287"
"Bitcoin Up or Down - April 29, 10:00PM-10:05PM ET","Buy","2.8602600000000002","3","Up","1777514632","0x672353e19e92305e171beb5f62df3cf6af4553e129b4647021e2a83a317d6971"
"Bitcoin Up or Down - April 29, 9:40PM-9:45PM ET","Sell","2.96787","3","Up","1777513494","0xe1283ba5b39f2e567f64f4f01b8d81d5ed0c9fe9b4972867281ad6aafcd996c5"
"Bitcoin Up or Down - April 29, 9:40PM-9:45PM ET","Buy","2.77589","3","Up","1777513414","0x25cedbcf9cb6af643023f48ac375964a2eb201c624e65057b5ff49547c6c550f"
"Bitcoin Up or Down - April 29, 9:25PM-9:30PM ET","Sell","2.96787","3","Up","1777512594","0x9793236e1673fa97256d2c757821974dc57e1d8bdf21c781d56e4c7352b13c9e"
"Bitcoin Up or Down - April 29, 9:25PM-9:30PM ET","Buy","2.8602600000000002","3","Up","1777512512","0x8c0819bbffab5c37cc8b12cbcb965740972ebfd151a6576c2360ae387088254f"
"Bitcoin Up or Down - April 29, 8:40PM-8:45PM ET","Sell","2.9807200000000003","3","Down","1777509894","0x6d75976a3828864c3bc50215c5804caeffd9d310983841c3482f63ee23e613d7"
"Bitcoin Up or Down - April 29, 8:40PM-8:45PM ET","Buy","2.8321799999999997","3","Down","1777509812","0xf2aa49cbf24bd3a4b5db92f32c3d2b9b17da5814370629471f29d83e505aac64"
"Bitcoin Up or Down - April 29, 8:00PM-8:05PM ET","Redeem","3","3","","1777507588","0xb699a782189806859f3c218fd0379559d8332d26e29482a1e07e809d0f289a4b"
"Bitcoin Up or Down - April 29, 8:00PM-8:05PM ET","Buy","2.8602600000000002","3","Up","1777507412","0x41d085b403037a03ba78591b256a52304578702a1a1a5acf08d9681e82d2a154"
"Bitcoin Up or Down - April 29, 8:00PM-8:05PM ET","Buy","2.8602600000000002","3","Up","1777507412","0x41d085b403037a03ba78591b256a52304578702a1a1a5acf08d9681e82d2a154"
"Bitcoin Up or Down - April 29, 7:50PM-7:55PM ET","Sell","2.8717099999999998","3","Up","1777506894","0x658eaebc40f986017c1d790449d623d42f906fd9c5e64cc13d327ff5cffb4f1a"
"Bitcoin Up or Down - April 29, 7:50PM-7:55PM ET","Sell","2.8717099999999998","3","Up","1777506894","0x658eaebc40f986017c1d790449d623d42f906fd9c5e64cc13d327ff5cffb4f1a"
"Bitcoin Up or Down - April 29, 7:50PM-7:55PM ET","Buy","2.8602600000000002","3","Up","1777506836","0xe8843453f409084094b9c666f72005eb0eae75cb55c337b3be0cf9f2c794aa87"
"Bitcoin Up or Down - April 29, 7:50PM-7:55PM ET","Buy","2.8602600000000002","3","Up","1777506836","0xe8843453f409084094b9c666f72005eb0eae75cb55c337b3be0cf9f2c794aa87"
"Bitcoin Up or Down - April 29, 7:30PM-7:35PM ET","Sell","2.96787","3","Up","1777505694","0x259ecdf4448bb04c16c8e181d25c889c41d0f69b965d294407ce9de630faae8d"
"Bitcoin Up or Down - April 29, 7:30PM-7:35PM ET","Sell","2.96787","3","Up","1777505694","0x259ecdf4448bb04c16c8e181d25c889c41d0f69b965d294407ce9de630faae8d"
"Bitcoin Up or Down - April 29, 7:30PM-7:35PM ET","Buy","2.8602600000000002","3","Up","1777505612","0x81c3f725aa7c30af7821075195aa8077b66c74a84d07b12f7fb23d100fc5f15e"
"Bitcoin Up or Down - April 29, 7:30PM-7:35PM ET","Buy","2.8602600000000002","3","Up","1777505612","0x81c3f725aa7c30af7821075195aa8077b66c74a84d07b12f7fb23d100fc5f15e"
"Bitcoin Up or Down - April 29, 7:20PM-7:25PM ET","Sell","2.99679","3","Down","1777505094","0x8a35b4f6f57a6cdd2141b93d220aec91714e748f5d1d955fd452fedada359859"
"Bitcoin Up or Down - April 29, 7:20PM-7:25PM ET","Sell","2.99679","3","Down","1777505094","0x8a35b4f6f57a6cdd2141b93d220aec91714e748f5d1d955fd452fedada359859"
"Bitcoin Up or Down - April 29, 7:20PM-7:25PM ET","Buy","2.74769","3","Down","1777505012","0x54cf0bd019fe4a615bd11b7a7a1fbdf60cd3f3e6feeaae02fc757cb70d1cce4d"
"Bitcoin Up or Down - April 29, 7:20PM-7:25PM ET","Buy","2.74769","3","Down","1777505012","0x54cf0bd019fe4a615bd11b7a7a1fbdf60cd3f3e6feeaae02fc757cb70d1cce4d"
"Bitcoin Up or Down - April 29, 7:15PM-7:20PM ET","Sell","2.96787","3","Down","1777504794","0xfa0addff7750aa135139806f4d20a20f044b70238877d2b3588c8295da05e02b"
"Bitcoin Up or Down - April 29, 7:15PM-7:20PM ET","Sell","2.96787","3","Down","1777504794","0xfa0addff7750aa135139806f4d20a20f044b70238877d2b3588c8295da05e02b"
"Bitcoin Up or Down - April 29, 7:15PM-7:20PM ET","Buy","2.74769","3","Down","1777504712","0xc08f3f53e19c2e4fdd9c4578cedc3e8d39a25d813f14f7e11046b0902999dc94"
"Bitcoin Up or Down - April 29, 7:15PM-7:20PM ET","Buy","2.74769","3","Down","1777504712","0xc08f3f53e19c2e4fdd9c4578cedc3e8d39a25d813f14f7e11046b0902999dc94"
"Bitcoin Up or Down - April 29, 7:05PM-7:10PM ET","Sell","1.97858","2","Up","1777504194","0xda811dcc9586eb31fc257168f249b8a65066c92d7c04ef153e17c70743f0bfdd"
"Bitcoin Up or Down - April 29, 7:05PM-7:10PM ET","Sell","1.97858","2","Up","1777504194","0xda811dcc9586eb31fc257168f249b8a65066c92d7c04ef153e17c70743f0bfdd"
"Bitcoin Up or Down - April 29, 7:05PM-7:10PM ET","Buy","1.9068399999999999","2","Up","1777504112","0x1404802bceed2596a6828803cf2a163a358db94da6422ec1f633254c4e52640f"
"Bitcoin Up or Down - April 29, 7:05PM-7:10PM ET","Buy","1.9068399999999999","2","Up","1777504112","0x1404802bceed2596a6828803cf2a163a358db94da6422ec1f633254c4e52640f"
"Bitcoin Up or Down - April 29, 6:25PM-6:30PM ET","Sell","1.97858","2","Down","1777501794","0x8811a038e7f68846e6560e2d245d2f77f3cd3cfda13737700365887f090585b5"
"Bitcoin Up or Down - April 29, 6:25PM-6:30PM ET","Sell","1.97858","2","Down","1777501794","0x8811a038e7f68846e6560e2d245d2f77f3cd3cfda13737700365887f090585b5"
"Bitcoin Up or Down - April 29, 6:25PM-6:30PM ET","Buy","1.8129600000000001","2","Down","1777501738","0x53e05d5cb57d1cc0ff0a671b8eca9aa3703229e57245f1f8395ff9cb4aadf4e5"
"Bitcoin Up or Down - April 29, 6:25PM-6:30PM ET","Buy","1.8129600000000001","2","Down","1777501738","0x53e05d5cb57d1cc0ff0a671b8eca9aa3703229e57245f1f8395ff9cb4aadf4e5"
"Bitcoin Up or Down - April 29, 5:25PM-5:30PM ET","Sell","1.97858","2","Down","1777498184","0xd05a7b6db175b6f0d810d67e5d79cbf30de9925addb604d9db2ea103696f04e2"
"Bitcoin Up or Down - April 29, 5:25PM-5:30PM ET","Sell","1.97858","2","Down","1777498184","0xd05a7b6db175b6f0d810d67e5d79cbf30de9925addb604d9db2ea103696f04e2"
"Bitcoin Up or Down - April 29, 5:25PM-5:30PM ET","Buy","1.8881199999999998","2","Down","1777498126","0x992c8ed4f6bb06b331b3c0d47b2daaa81ab549b8f5affe009b3a535164f5e3ad"
"Bitcoin Up or Down - April 29, 5:25PM-5:30PM ET","Buy","1.8881199999999998","2","Down","1777498126","0x992c8ed4f6bb06b331b3c0d47b2daaa81ab549b8f5affe009b3a535164f5e3ad"
"Bitcoin Up or Down - April 29, 5:15PM-5:20PM ET","Redeem","2","2","","1777497666","0x99165ec70aad3fd5399428f099514e250124f0addc8f0bfe3548b7006b0554f7"
"Bitcoin Up or Down - April 29, 5:15PM-5:20PM ET","Buy","1.9068399999999999","2","Up","1777497514","0xd0607925517555b95912d7b2921424bb5b555ea542db928edd1d4d95df3713dd"
"Bitcoin Up or Down - April 29, 5:15PM-5:20PM ET","Buy","1.9068399999999999","2","Up","1777497514","0xd0607925517555b95912d7b2921424bb5b555ea542db928edd1d4d95df3713dd"
"Bitcoin Up or Down - April 29, 12:00PM-12:05PM ET","Sell","1.97858","2","Up","1777478694","0xee89f194cf8e07c2a82bf228d5db5333d46e4ea2edafa8dd33235b7f53932dac"
"Bitcoin Up or Down - April 29, 12:00PM-12:05PM ET","Sell","1.97858","2","Up","1777478694","0xee89f194cf8e07c2a82bf228d5db5333d46e4ea2edafa8dd33235b7f53932dac"
"Bitcoin Up or Down - April 29, 12:00PM-12:05PM ET","Buy","1.7752000000000001","2","Up","1777478614","0xe4dda1cd98904330c6eb2332ac655b99cf8f343e2c347e5a6308eed620f47f5c"
"Bitcoin Up or Down - April 29, 12:00PM-12:05PM ET","Buy","1.7752000000000001","2","Up","1777478614","0xe4dda1cd98904330c6eb2332ac655b99cf8f343e2c347e5a6308eed620f47f5c"
"Bitcoin Up or Down - April 29, 11:45AM-11:50AM ET","Redeem","0","0","","1777477874","0x268f3774a7eb93d2b4ab62c80337fd7b093726274d620ad738b38a1dcd911a30"
"Bitcoin Up or Down - April 29, 11:10AM-11:15AM ET","Redeem","0","0","","1777477846","0x94564876bdbd4037c98873102aacfba78f200b9d49c4fbbe588b266d1cf5ac87"
"Bitcoin Up or Down - April 29, 11:45AM-11:50AM ET","Sell","0.30886","3","Down","1777477806","0x52fccca00a1d8f6a7f5dbca1dbf4dec23abc9e8fa5432b77324df75e5166ab1a"
"Bitcoin Up or Down - April 29, 11:45AM-11:50AM ET","Sell","0.30886","3","Down","1777477806","0x52fccca00a1d8f6a7f5dbca1dbf4dec23abc9e8fa5432b77324df75e5166ab1a"
"Bitcoin Up or Down - April 29, 11:45AM-11:50AM ET","Buy","2.74769","3","Down","1777477754","0x61235bed928d210a0dbd5725de3c5b3cdcde8adbc40edb415402deffabd4d80f"
"Bitcoin Up or Down - April 29, 11:45AM-11:50AM ET","Buy","2.74769","3","Down","1777477754","0x61235bed928d210a0dbd5725de3c5b3cdcde8adbc40edb415402deffabd4d80f"
